soc_code,isco_code,occupation,fo_probability,task_routine,task_cognitive,task_manual,lmic_note,risk_category,region,lmic_calibration_factor,lmic_adjusted_probability,lmic_risk_category
51-3011,8111,Bakers,0.89,0.82,0.22,0.75,,High,Sub-Saharan Africa,0.65,0.578,Medium
51-3021,8111,Butchers and meat cutters,0.76,0.7,0.22,0.82,,High,Sub-Saharan Africa,0.65,0.494,Medium
51-3022,8111,"Meat, poultry, and fish cutters and trimmers",0.87,0.82,0.12,0.85,,High,Sub-Saharan Africa,0.65,0.566,Medium
51-3023,8111,Slaughterers and meat packers,0.87,0.82,0.12,0.88,,High,Sub-Saharan Africa,0.65,0.566,Medium
51-3091,8111,Food and tobacco roasting machine operators,0.96,0.92,0.1,0.6,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-3092,8111,Food batchmakers,0.93,0.88,0.12,0.68,,High,Sub-Saharan Africa,0.65,0.604,Medium
51-3093,8111,Food cooking machine operators,0.97,0.92,0.1,0.6,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-4011,7222,Computer-controlled machine tool operators,0.65,0.62,0.4,0.72,,Medium,Sub-Saharan Africa,0.65,0.423,Medium
51-4021,7222,Extruding and drawing machine operators,0.96,0.92,0.12,0.72,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-4023,7222,"Rolling machine setters, metalworking",0.88,0.84,0.18,0.75,,High,Sub-Saharan Africa,0.65,0.572,Medium
51-4031,7222,"Cutting, punching, press machine operators",0.96,0.92,0.1,0.72,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-4035,7222,Milling and planing machine operators,0.95,0.9,0.12,0.72,,High,Sub-Saharan Africa,0.65,0.617,Medium
51-4041,7222,Machinists,0.65,0.6,0.42,0.72,,Medium,Sub-Saharan Africa,0.65,0.423,Medium
51-4051,7221,Metal-refining furnace operators and tenders,0.95,0.9,0.12,0.78,,High,Sub-Saharan Africa,0.65,0.617,Medium
51-4061,7222,"Model makers, metal and plastic",0.26,0.35,0.6,0.7,,Low,Sub-Saharan Africa,0.65,0.169,Low
51-4062,7222,"Patternmakers, metal and plastic",0.35,0.42,0.58,0.7,,Medium,Sub-Saharan Africa,0.65,0.227,Low
51-4071,7222,Foundry mold and coremakers,0.95,0.9,0.12,0.8,,High,Sub-Saharan Africa,0.65,0.617,Medium
51-4072,7222,"Molding, coremaking, casting machine operators",0.97,0.92,0.1,0.78,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-4081,7222,"Multiple machine tool operators, metal",0.94,0.9,0.15,0.75,,High,Sub-Saharan Africa,0.65,0.611,Medium
51-4111,7222,Tool and die makers,0.32,0.4,0.6,0.72,,Medium,Sub-Saharan Africa,0.65,0.208,Low
51-4121,7222,"Welders, cutters, solderers, brazers",0.67,0.62,0.3,0.8,Industrial welding automatable; informal less so,Medium,Sub-Saharan Africa,0.65,0.436,Medium
51-4122,7222,"Welding, soldering, brazing machine operators",0.96,0.92,0.12,0.75,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-5011,7323,Bindery workers,0.98,0.92,0.1,0.65,,High,Sub-Saharan Africa,0.65,0.637,Medium
51-5012,7323,Bookbinders,0.58,0.55,0.3,0.68,,Medium,Sub-Saharan Africa,0.65,0.377,Medium
51-5021,7323,Job printers,0.88,0.82,0.22,0.6,,High,Sub-Saharan Africa,0.65,0.572,Medium
51-5022,7323,Prepress technicians and workers,0.92,0.86,0.25,0.55,,High,Sub-Saharan Africa,0.65,0.598,Medium
51-5023,7323,Printing press operators,0.57,0.55,0.35,0.65,,Medium,Sub-Saharan Africa,0.65,0.37,Medium
51-6011,8153,Laundry and dry-cleaning workers,0.95,0.9,0.1,0.7,,High,Sub-Saharan Africa,0.65,0.617,Medium
51-6021,7531,"Pressers, textile, garment, related materials",0.95,0.9,0.1,0.72,,High,Sub-Saharan Africa,0.65,0.617,Medium
51-6031,7531,Sewing machine operators,0.89,0.84,0.12,0.8,Garment LMIC: partial automation with cheap labour,High,Sub-Saharan Africa,0.65,0.578,Medium
51-6041,7531,Shoe and leather workers and repairers,0.72,0.65,0.22,0.8,,High,Sub-Saharan Africa,0.65,0.468,Medium
51-6042,7531,Shoe machine operators and tenders,0.95,0.9,0.1,0.78,,High,Sub-Saharan Africa,0.65,0.617,Medium
51-6051,7531,"Sewers, hand",0.49,0.5,0.18,0.85,,Medium,Sub-Saharan Africa,0.65,0.318,Medium
51-6052,7531,"Tailors, dressmakers, and sewers",0.49,0.5,0.3,0.82,Custom/bespoke protects in informal LMIC,Medium,Sub-Saharan Africa,0.65,0.318,Medium
51-6061,7531,Textile bleaching and dyeing machine operators,0.98,0.92,0.08,0.72,,High,Sub-Saharan Africa,0.65,0.637,Medium
51-6062,7531,Textile cutting machine operators,0.97,0.92,0.1,0.72,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-6063,7531,Textile knitting and weaving machine operators,0.97,0.92,0.08,0.72,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-6064,7531,"Textile winding, twisting, drawing out machine ops",0.97,0.92,0.08,0.72,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-6091,7531,Extruding and forming machine operators (textile),0.96,0.9,0.1,0.72,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-6092,7531,Fabric and apparel patternmakers,0.55,0.52,0.45,0.68,,Medium,Sub-Saharan Africa,0.65,0.358,Medium
51-6093,7531,Upholsterers,0.45,0.48,0.35,0.8,,Medium,Sub-Saharan Africa,0.65,0.293,Low
51-7011,7422,Cabinetmakers and bench carpenters,0.38,0.45,0.42,0.8,,Medium,Sub-Saharan Africa,0.65,0.247,Low
51-7021,7422,Furniture finishers,0.91,0.86,0.15,0.78,,High,Sub-Saharan Africa,0.65,0.592,Medium
51-7031,7422,"Model makers, wood",0.29,0.38,0.58,0.72,,Low,Sub-Saharan Africa,0.65,0.188,Low
51-7032,7422,"Patternmakers, wood",0.32,0.4,0.55,0.72,,Medium,Sub-Saharan Africa,0.65,0.208,Low
51-7041,7422,Sawing machine setters and operators,0.95,0.9,0.1,0.8,,High,Sub-Saharan Africa,0.65,0.617,Medium
51-7042,7422,"Woodworking machine operators, except sawing",0.96,0.9,0.1,0.78,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-8011,3133,Nuclear power reactor operators,0.38,0.48,0.65,0.45,,Medium,Sub-Saharan Africa,0.65,0.247,Low
51-8012,3133,Power distributors and dispatchers,0.82,0.75,0.4,0.28,,High,Sub-Saharan Africa,0.65,0.533,Medium
51-8013,3133,Power plant operators,0.55,0.55,0.55,0.4,,Medium,Sub-Saharan Africa,0.65,0.358,Medium
51-8021,3133,Stationary engineers and boiler operators,0.59,0.56,0.48,0.5,,Medium,Sub-Saharan Africa,0.65,0.384,Medium
51-8031,3133,Water and wastewater treatment plant operators,0.86,0.8,0.3,0.5,,High,Sub-Saharan Africa,0.65,0.559,Medium
51-9011,7311,Chemical equipment operators and tenders,0.67,0.62,0.38,0.58,,Medium,Sub-Saharan Africa,0.65,0.436,Medium
51-9012,7311,"Separating, filtering, clarifying machine ops",0.96,0.92,0.1,0.58,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-9021,7311,"Crushing, grinding, polishing machine operators",0.97,0.92,0.08,0.7,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-9032,7311,Cutting and slicing machine operators,0.97,0.92,0.08,0.72,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-9041,7311,"Extruding, forming, pressing machine operators",0.97,0.92,0.08,0.72,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-9051,7311,"Furnace, kiln, oven, drier, kettle operators",0.94,0.88,0.1,0.65,,High,Sub-Saharan Africa,0.65,0.611,Medium
51-9061,7311,"Inspectors, testers, sorters, samplers, weighers",0.97,0.92,0.2,0.62,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-9071,7311,Jewelers and precious stone and metal workers,0.28,0.38,0.5,0.78,,Low,Sub-Saharan Africa,0.65,0.182,Low
51-9081,7311,Dental laboratory technicians,0.84,0.78,0.35,0.72,,High,Sub-Saharan Africa,0.65,0.546,Medium
51-9082,7311,Medical appliance technicians,0.73,0.68,0.4,0.65,,High,Sub-Saharan Africa,0.65,0.474,Medium
51-9111,7311,Packaging and filling machine operators,0.98,0.94,0.08,0.65,,High,Sub-Saharan Africa,0.65,0.637,Medium
51-9121,7311,"Coating, painting, spraying machine operators",0.96,0.9,0.1,0.7,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-9122,7311,"Painters, transportation equipment",0.76,0.7,0.2,0.8,,High,Sub-Saharan Africa,0.65,0.494,Medium
51-9131,7311,Photographic process workers,0.88,0.82,0.25,0.6,,High,Sub-Saharan Africa,0.65,0.572,Medium
51-9141,7311,Semiconductor processors,0.98,0.94,0.15,0.65,,High,Sub-Saharan Africa,0.65,0.637,Medium
51-9151,7311,Photoengravers,0.96,0.9,0.18,0.6,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-9161,7311,Computer numerically controlled machine tool programmers,0.18,0.3,0.68,0.62,,Low,Sub-Saharan Africa,0.65,0.117,Low
51-9191,7311,Cementing and gluing machine operators,0.98,0.94,0.08,0.68,,High,Sub-Saharan Africa,0.65,0.637,Medium
51-9192,7311,"Cleaning, washing, metal pickling equipment ops",0.97,0.92,0.08,0.65,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-9193,7311,Etchers and engravers,0.96,0.9,0.18,0.68,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-9194,7311,Coolant system operators,0.98,0.94,0.08,0.6,,High,Sub-Saharan Africa,0.65,0.637,Medium
51-9195,7311,"Molders, shapers, casters, except metal and plastic",0.87,0.82,0.15,0.75,,High,Sub-Saharan Africa,0.65,0.566,Medium
51-9196,7311,"Paper goods machine setters, operators",0.96,0.9,0.1,0.68,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-9197,7311,Tire builders,0.91,0.86,0.12,0.78,,High,Sub-Saharan Africa,0.65,0.592,Medium
51-9198,7311,Helpers--Production workers,0.97,0.9,0.08,0.8,,High,Sub-Saharan Africa,0.65,0.63,Medium
53-1011,8322,Aircraft cargo handling supervisors,0.25,0.38,0.62,0.55,,Low,Sub-Saharan Africa,0.65,0.162,Low
53-1021,8322,"First-line supervisors of helpers, movers",0.25,0.38,0.62,0.5,,Low,Sub-Saharan Africa,0.65,0.162,Low
53-1031,8322,First-line supervisors of transportation,0.28,0.4,0.62,0.48,,Low,Sub-Saharan Africa,0.65,0.182,Low
53-2011,3155,Airline pilots and flight engineers,0.55,0.52,0.7,0.4,Safety bottleneck; partial cockpit automation,Medium,Sub-Saharan Africa,0.65,0.358,Medium
53-2021,3155,Air traffic controllers,0.28,0.4,0.78,0.12,Judgment in complex systems,Low,Sub-Saharan Africa,0.65,0.182,Low
53-2022,3155,Airfield operations specialists,0.39,0.48,0.58,0.35,,Medium,Sub-Saharan Africa,0.65,0.254,Low
53-3011,8321,Ambulance drivers and attendants,0.68,0.62,0.4,0.6,,Medium,Sub-Saharan Africa,0.65,0.442,Medium
53-3021,8321,"Bus drivers, transit and intercity",0.67,0.62,0.25,0.6,AV technology; LMIC lag significant,Medium,Sub-Saharan Africa,0.65,0.436,Medium
53-3022,8321,"Bus drivers, school",0.35,0.45,0.3,0.6,Child safety adds social complexity,Medium,Sub-Saharan Africa,0.65,0.227,Low
53-3031,8321,Driver/sales workers,0.98,0.9,0.18,0.65,,High,Sub-Saharan Africa,0.65,0.637,Medium
53-3032,8321,Heavy and tractor-trailer truck drivers,0.79,0.72,0.22,0.68,Long-haul AV advancing; LMIC roads differ,High,Sub-Saharan Africa,0.65,0.514,Medium
53-3033,8321,Light truck or delivery drivers,0.34,0.45,0.28,0.68,Last-mile complex; high LMIC gig economy,Medium,Sub-Saharan Africa,0.65,0.221,Low
53-3041,8321,Taxi drivers and chauffeurs,0.89,0.82,0.2,0.6,Rideshare+AV disruption; LMIC informal taxis,High,Sub-Saharan Africa,0.65,0.578,Medium
53-3099,8321,"Motor vehicle operators, all other",0.79,0.72,0.22,0.65,,High,Sub-Saharan Africa,0.65,0.514,Medium
53-4011,8311,Locomotive engineers,0.31,0.42,0.58,0.5,,Medium,Sub-Saharan Africa,0.65,0.202,Low
53-4012,8311,Locomotive firers,0.96,0.92,0.12,0.55,,High,Sub-Saharan Africa,0.65,0.624,Medium
53-4013,8311,"Rail yard engineers, dinkey operators",0.82,0.76,0.2,0.55,,High,Sub-Saharan Africa,0.65,0.533,Medium
53-4021,8311,"Railroad brake, signal, switch operators",0.75,0.7,0.28,0.5,,High,Sub-Saharan Africa,0.65,0.488,Medium
53-4031,8311,Railroad conductors and yardmasters,0.58,0.55,0.45,0.48,,Medium,Sub-Saharan Africa,0.65,0.377,Medium
53-4041,8311,Subway and streetcar operators,0.43,0.5,0.4,0.48,Automated metro lines growing,Medium,Sub-Saharan Africa,0.65,0.28,Low
53-5011,8350,Sailors and marine oilers,0.83,0.76,0.28,0.72,,High,Sub-Saharan Africa,0.65,0.54,Medium
53-5021,8350,Ship and boat captains,0.27,0.38,0.68,0.55,Navigation automation partial,Low,Sub-Saharan Africa,0.65,0.176,Low
53-5022,8350,Ship engineers,0.33,0.42,0.65,0.55,,Medium,Sub-Saharan Africa,0.65,0.215,Low
53-6011,4323,Bridge and lock tenders,0.9,0.86,0.2,0.4,,High,Sub-Saharan Africa,0.65,0.585,Medium
53-6021,4323,Parking lot attendants,0.98,0.94,0.1,0.35,,High,Sub-Saharan Africa,0.65,0.637,Medium
53-6031,4323,Automotive and watercraft service attendants,0.9,0.86,0.15,0.45,,High,Sub-Saharan Africa,0.65,0.585,Medium
53-6041,4323,Traffic technicians,0.48,0.5,0.52,0.35,,Medium,Sub-Saharan Africa,0.65,0.312,Medium
53-6051,4323,Transportation inspectors,0.46,0.5,0.58,0.4,,Medium,Sub-Saharan Africa,0.65,0.299,Low
53-7011,9333,Conveyor operators and tenders,0.96,0.92,0.1,0.65,,High,Sub-Saharan Africa,0.65,0.624,Medium
53-7021,9333,Crane and tower operators,0.59,0.56,0.38,0.72,,Medium,Sub-Saharan Africa,0.65,0.384,Medium
53-7031,9333,Dredge operators,0.5,0.52,0.32,0.72,,Medium,Sub-Saharan Africa,0.65,0.325,Medium
53-7041,9333,Hoist and winch operators,0.88,0.84,0.15,0.7,,High,Sub-Saharan Africa,0.65,0.572,Medium
53-7051,9333,Industrial truck and tractor operators,0.89,0.84,0.12,0.72,Warehouse automation rising,High,Sub-Saharan Africa,0.65,0.578,Medium
53-7061,9333,Cleaners of vehicles and equipment,0.89,0.84,0.08,0.7,,High,Sub-Saharan Africa,0.65,0.578,Medium
53-7062,9111,"Laborer and freight, stock material movers",0.85,0.8,0.1,0.8,Physical task; LMIC labour cost protects,High,Sub-Saharan Africa,0.65,0.552,Medium
53-7063,9333,Machine feeders and offbearers,0.97,0.92,0.08,0.72,,High,Sub-Saharan Africa,0.65,0.63,Medium
53-7064,9333,"Packers and packagers, hand",0.98,0.94,0.06,0.78,,High,Sub-Saharan Africa,0.65,0.637,Medium
53-7065,9333,Stockers and order fillers,0.97,0.92,0.1,0.72,Warehouse robotics; LMIC lag,High,Sub-Saharan Africa,0.65,0.63,Medium
53-7071,9333,Gas compressor and gas pumping station operators,0.68,0.62,0.38,0.52,,Medium,Sub-Saharan Africa,0.65,0.442,Medium
53-7072,9333,"Pump operators, except wellhead pumpers",0.8,0.74,0.28,0.55,,High,Sub-Saharan Africa,0.65,0.52,Medium
53-7073,9333,Wellhead pumpers,0.8,0.74,0.28,0.6,,High,Sub-Saharan Africa,0.65,0.52,Medium
53-7081,9333,Refuse and recyclable material collectors,0.68,0.62,0.1,0.82,Physical route; LMIC labour intensive,Medium,Sub-Saharan Africa,0.65,0.442,Medium
53-7111,9333,Mine shuttle car operators,0.87,0.82,0.12,0.8,,High,Sub-Saharan Africa,0.65,0.566,Medium
53-7121,9333,"Tank car, truck, and ship loaders",0.89,0.84,0.12,0.75,,High,Sub-Saharan Africa,0.65,0.578,Medium
11-1011,1120,Chief executives,0.016,0.1,0.95,0.1,Social/strategic tasks protect from automation globally,Low,South Asia,0.72,0.012,Low
11-1021,1219,General and operations managers,0.016,0.2,0.9,0.1,,Low,South Asia,0.72,0.012,Low
11-2021,1221,Marketing managers,0.014,0.2,0.9,0.05,,Low,South Asia,0.72,0.01,Low
11-3011,1219,Administrative services managers,0.73,0.65,0.55,0.1,Admin coordination partially routine; higher LMIC risk,High,South Asia,0.72,0.526,Medium
11-3031,1211,Financial managers,0.069,0.3,0.85,0.05,,Low,South Asia,0.72,0.05,Low
11-9013,1311,Farmers and ranchers,0.01,0.4,0.6,0.7,Manual/judgment mix; low LMIC automation risk,Low,South Asia,0.72,0.007,Low
11-9041,1324,Engineering managers,0.017,0.15,0.9,0.2,,Low,South Asia,0.72,0.012,Low
11-9111,1219,Medical and health services managers,0.036,0.2,0.85,0.15,,Low,South Asia,0.72,0.026,Low
15-1131,2512,Computer programmers,0.48,0.3,0.9,0.05,Routine coding automatable; creative design less so,Medium,South Asia,0.72,0.346,Medium
15-1132,2512,"Software developers, applications",0.042,0.1,0.95,0.05,High cognitive creativity; durable,Low,South Asia,0.72,0.03,Low
15-1133,2512,"Software developers, systems software",0.042,0.1,0.95,0.05,,Low,South Asia,0.72,0.03,Low
15-1121,2521,Computer systems analysts,0.656,0.55,0.75,0.05,Analytical but routine-heavy portions automatable,Medium,South Asia,0.72,0.472,Medium
15-1141,2529,Database administrators,0.77,0.7,0.65,0.05,Routine DB tasks highly automatable,High,South Asia,0.72,0.554,Medium
15-1151,2529,Computer user support specialists,0.65,0.6,0.6,0.1,Tier-1 support routinisable; high LMIC risk,Medium,South Asia,0.72,0.468,Medium
17-2051,2149,Civil engineers,0.018,0.2,0.9,0.3,,Low,South Asia,0.72,0.013,Low
17-2071,2151,Electrical engineers,0.15,0.25,0.88,0.25,,Low,South Asia,0.72,0.108,Low
17-2141,2144,Mechanical engineers,0.01,0.2,0.9,0.3,,Low,South Asia,0.72,0.007,Low
19-1011,2131,Animal scientists,0.028,0.2,0.85,0.3,,Low,South Asia,0.72,0.02,Low
19-2031,2111,Atmospheric and space scientists,0.02,0.2,0.9,0.1,,Low,South Asia,0.72,0.014,Low
19-3011,2632,Economists,0.43,0.4,0.85,0.05,,Medium,South Asia,0.72,0.31,Medium
19-3031,2634,"Clinical, counseling and school psychologists",0.004,0.1,0.85,0.15,Social intelligence bottleneck,Low,South Asia,0.72,0.003,Low
19-3051,2635,Urban and regional planners,0.032,0.25,0.85,0.15,,Low,South Asia,0.72,0.023,Low
19-4021,3116,Biological technicians,0.83,0.7,0.55,0.5,Lab routine tasks highly automatable,High,South Asia,0.72,0.598,Medium
21-1011,2635,Substance abuse counselors,0.013,0.1,0.75,0.2,Social intelligence bottleneck,Low,South Asia,0.72,0.009,Low
21-1021,2635,"Child, family, and school social workers",0.032,0.1,0.75,0.2,,Low,South Asia,0.72,0.023,Low
23-1011,2611,Lawyers,0.035,0.25,0.9,0.05,,Low,South Asia,0.72,0.025,Low
25-2011,2341,Preschool teachers,0.007,0.1,0.8,0.3,Social/care bottleneck; low automation globally,Low,South Asia,0.72,0.005,Low
25-2021,2341,Elementary school teachers,0.009,0.1,0.9,0.2,,Low,South Asia,0.72,0.006,Low
25-2022,2342,Middle school teachers,0.009,0.1,0.9,0.2,,Low,South Asia,0.72,0.006,Low
25-2031,2330,Secondary school teachers,0.009,0.1,0.9,0.2,,Low,South Asia,0.72,0.006,Low
25-3011,2359,Adult literacy instructors,0.55,0.45,0.7,0.15,,Medium,South Asia,0.72,0.396,Medium
27-1011,2651,Art directors,0.023,0.1,0.9,0.1,Creative intelligence bottleneck,Low,South Asia,0.72,0.017,Low
27-1014,2651,Multimedia artists and animators,0.042,0.15,0.88,0.1,,Low,South Asia,0.72,0.03,Low
27-2012,2652,Producers and directors,0.012,0.1,0.9,0.1,,Low,South Asia,0.72,0.009,Low
27-3011,2641,Radio and television announcers,0.83,0.65,0.5,0.1,Routine broadcast tasks highly automatable,High,South Asia,0.72,0.598,Medium
27-3031,2641,Public relations specialists,0.18,0.25,0.8,0.05,,Low,South Asia,0.72,0.13,Low
27-3041,2642,Editors,0.056,0.3,0.85,0.05,,Low,South Asia,0.72,0.04,Low
27-4011,3521,Audio and video equipment technicians,0.29,0.45,0.6,0.4,,Low,South Asia,0.72,0.209,Low
29-1011,2212,"Internists, general",0.004,0.1,0.9,0.4,Clinical judgment bottleneck,Low,South Asia,0.72,0.003,Low
29-1051,2211,Family and general practitioners,0.004,0.1,0.9,0.4,,Low,South Asia,0.72,0.003,Low
29-1111,2221,Registered nurses,0.009,0.15,0.8,0.5,Social/care bottleneck,Low,South Asia,0.72,0.006,Low
29-1141,2221,Registered nurses (duplicated group),0.009,0.15,0.8,0.5,,Low,South Asia,0.72,0.006,Low
29-2011,3213,Medical and clinical laboratory technologists,0.45,0.55,0.65,0.4,Routine lab tasks automatable,Medium,South Asia,0.72,0.324,Medium
29-2012,3213,Medical and clinical laboratory technicians,0.69,0.65,0.55,0.4,Higher routine share than technologists,Medium,South Asia,0.72,0.497,Medium
29-2021,3211,Dental hygienists,0.19,0.3,0.7,0.55,,Low,South Asia,0.72,0.137,Low
29-2032,3212,Diagnostic medical sonographers,0.65,0.6,0.65,0.3,,Medium,South Asia,0.72,0.468,Medium
29-2052,3212,Pharmacy technicians,0.92,0.85,0.4,0.35,Highly routinised dispensing tasks,High,South Asia,0.72,0.662,Medium
29-2061,3212,Licensed practical and vocational nurses,0.098,0.2,0.7,0.55,,Low,South Asia,0.72,0.071,Low
29-9011,3259,Occupational health and safety specialists,0.014,0.2,0.8,0.3,,Low,South Asia,0.72,0.01,Low
31-1011,5321,Home health aides,0.35,0.3,0.5,0.65,Physical care tasks hard to automate in LMIC,Medium,South Asia,0.72,0.252,Low
31-9091,3211,Dental assistants,0.67,0.6,0.55,0.55,,Medium,South Asia,0.72,0.482,Medium
31-9092,3212,Medical assistants,0.73,0.65,0.55,0.4,,High,South Asia,0.72,0.526,Medium
43-1011,4110,First-line supervisors of office workers,0.27,0.4,0.7,0.1,,Low,South Asia,0.72,0.194,Low
43-2011,4224,Switchboard operators,0.96,0.9,0.25,0.05,Near-fully automatable,High,South Asia,0.72,0.691,Medium
43-3011,4214,Bill and account collectors,0.899,0.85,0.35,0.05,Rule-based collections highly automatable,High,South Asia,0.72,0.647,Medium
43-3021,4312,Billing and posting clerks,0.96,0.9,0.25,0.05,,High,South Asia,0.72,0.691,Medium
43-3031,4312,"Bookkeeping, accounting clerks",0.98,0.92,0.3,0.05,Very high routine; automation likely soon,High,South Asia,0.72,0.706,High
43-3051,4132,Payroll and timekeeping clerks,0.97,0.9,0.3,0.05,,High,South Asia,0.72,0.698,Medium
43-3071,4212,Tellers,0.98,0.92,0.25,0.1,Already displaced by ATMs in urban areas,High,South Asia,0.72,0.706,High
43-4031,4221,"Court, municipal, and license clerks",0.97,0.9,0.3,0.05,,High,South Asia,0.72,0.698,Medium
43-4051,4115,Customer service representatives,0.55,0.65,0.45,0.05,Chat automation rising; LMIC voice support remains,Medium,South Asia,0.72,0.396,Medium
43-4061,4132,"Eligibility interviewers, government",0.96,0.88,0.35,0.05,,High,South Asia,0.72,0.691,Medium
43-4071,4419,File clerks,0.976,0.92,0.2,0.15,,High,South Asia,0.72,0.703,High
43-4111,4221,"Interviewers, except eligibility",0.92,0.82,0.35,0.05,,High,South Asia,0.72,0.662,Medium
43-4151,4131,Order clerks,0.98,0.92,0.2,0.05,,High,South Asia,0.72,0.706,High
43-4161,4416,Human resources assistants,0.9,0.8,0.4,0.05,,High,South Asia,0.72,0.648,Medium
43-5011,4321,Cargo and freight agents,0.9,0.82,0.35,0.1,,High,South Asia,0.72,0.648,Medium
43-5021,4323,Couriers and messengers,0.67,0.6,0.2,0.55,Physical delivery less automatable in LMIC,Medium,South Asia,0.72,0.482,Medium
43-5031,4321,"Dispatchers, except police/fire",0.83,0.75,0.4,0.05,,High,South Asia,0.72,0.598,Medium
43-5051,4321,Postal service clerks,0.95,0.88,0.25,0.2,,High,South Asia,0.72,0.684,Medium
